
<kupa456>,כלל השתלמות כללי,קרנות השתלמות,כללי,כללי,19352.81,0.0055,0.0898,0.0349,0.0621,1.8,2.17,כלל פנסיה וגמל בע"מ,2914191.01,0.1506,3448159.29,0.1782,179210.64,0.0093,6106147.59,0.3155,32307.65,0.0017,2096887.53,0.1084,706070.48,0.0365,1075850.58,0.0556,2793985.8,0.1444,13800292,0.7131,5552518.56,0.2869,11392978.95,0.5887,7959831.61,0.4113,9444337.54,0.488,9833110.04,0.5081,4841663.73,0.2502,</Row>
<kupa481>,מיטב השתלמות עוקב מדדים גמיש,קרנות השתלמות,עוקבי מדדים,עוקב מדדים - גמיש,1769.74,0.0047,0.1131,0.0577,0.068,2.33,2.46,מיטב גמל ופנסיה בע"מ,407528.2,0.2303,489018.74,0.2763,0,0,780741.67,0.4412,0,0,0,0,78916.07,0.0446,0,0,13538.6,0.0077,1756204.68,0.9923,13538.6,0.0077,763782.63,0.4316,1005960.64,0.5684,780741.67,0.4412,1766122.96,0.998,1705404.33,0.9636,</Row>
<kupa551>,מיטב גמל לבני 60 ומעלה,תגמולים ואישית לפיצויים,מדרגות,60 ומעלה,12034.69,0.0051,0.077,0.0341,0.0524,1.34,1.59,מיטב גמל ופנסיה בע"מ,3470581.54,0.2884,2426286.17,0.2016,253993.96,0.0211,2285810.64,0.1899,0,0,888156.73,0.0738,529270.38,0.044,451161.81,0.0375,1729431.66,0.1437,9147828.2,0.7601,2886864.69,0.2399,7749608.42,0.6439,4285084.48,0.3561,3038613.67,0.2525,4413493.48,0.3667,2127784.51,0.1768,</Row>
<kupa558>,אלטשולר שחם השתלמות אשראי ואג"ח עם מניות (עד 25% מניות),קרנות השתלמות,מתמחים בניהול אקטיבי,אשראי ואג"ח,5334.25,0.0072,0.0568,0.0191,0.0366,0.98,1.33,אלטשולר שחם גמל ופנסיה בע"מ,2278944.1,0.4272,338436.6,0.0634,152554.77,0.0286,396420.66,0.0743,5577.82,0.001,754925.68,0.1415,320849.2,0.0601,54258.4,0.0102,1032284.25,0.1935,3318409.72,0.6221,2015841.76,0.3779,3862371.52,0.7241,1471879.95,0.2759,1043874.73,0.1957,1370174.14,0.2569,789671.65,0.148,</Row>
<kupa579>,מגדל השתלמות כללי,קרנות השתלמות,כללי,כללי,17055.47,0.0057,0.0882,0.0408,0.0631,1.71,2.03,מגדל מקפת קרנות פנסיה וקופות גמל בע"מ,1711197.66,0.1003,2106419.77,0.1235,151186.38,0.0089,5298610.35,0.3107,92.58,0,2056505.76,0.1206,2264789.15,0.1328,125448.39,0.0074,3341217.17,0.1959,11057697.19,0.6483,5997770.02,0.3517,9096266.2,0.5333,7959201.01,0.4667,7716311.53,0.4524,9395726,0.5509,4302929.28,0.2523,</Row>
<kupa588>,אלטשולר שחם פיצויים אשראי ואג"ח (עד 25% מניות),מרכזית לפיצויים,אג"ח,משולב מניות,119.82,0.0066,0.0535,0.0147,0.0336,0.97,1.34,אלטשולר שחם גמל ופנסיה בע"מ,79598.56,0.6643,9805.1,0.0818,3021.52,0.0252,5392.08,0.045,103.35,0.0009,445.05,0.0037,8640.18,0.0721,725.78,0.0061,12085.1,0.1009,103126.58,0.8607,16690.14,0.1393,101510.28,0.8472,18306.44,0.1528,13942.54,0.1164,23966.47,0.2,13237.14,0.1105,</Row>
<kupa715>,הפניקס השתלמות כספי (שקלי),קרנות השתלמות,מתמחים בניהול אקטיבי,כספי (שקלי),310.92,0.006,0.0433,0.0237,0.0151,0.2,0.18,הפניקס פנסיה וגמל בע"מ ,222772.04,0.7165,54785.34,0.1762,0,0,0,0,0,0,6804.23,0.0219,3606.34,0.0116,0,0,22953.99,0.0738,281163.72,0.9043,29758.22,0.0957,310921.93,1,0,0,0,0,331.27,0.0011,0,0,</Row>
<kupa716>,הפניקס השתלמות אשראי ואג"ח,קרנות השתלמות,מתמחים בניהול אקטיבי,אשראי ואג"ח,718.79,0.0066,0.0414,0.0103,0.0226,1.01,1.16,הפניקס פנסיה וגמל בע"מ ,242058.28,0.3368,326209.65,0.4538,19050.21,0.0265,-417.45,-0.0006,0,0,68851.41,0.0958,26387.73,0.0367,11049.53,0.0154,25601.7,0.0356,605944.25,0.843,112846.8,0.157,600025.3,0.8348,118765.75,0.1652,481.71,0.0007,102603.66,0.1427,76666.54,0.1067,</Row>
<kupa739>,הראל קמ"פ מסלול מניות ,מרכזית לפיצויים,מניות,מניות ,32.48,0.0053,0.1385,0.0503,0.1099,3.63,4.18,הראל פנסיה וגמל בע"מ,5283.66,0.1627,25.09,0.0008,0,0,21174.76,0.652,0.27,0,0,0,4245.8,0.1307,1044.62,0.0322,701.88,0.0216,31908.41,0.9825,567.66,0.0175,17621.13,0.5426,14854.94,0.4574,31874.28,0.9814,26116.92,0.8041,10561.44,0.3252,</Row>
<kupa741>,הראל קמ"פ מסלול אג"ח צמוד מדד,מרכזית לפיצויים,אג"ח,אג"ח צמוד מדד,49.87,0.0065,0.0333,0.007,0.0161,1.05,1.24,הראל פנסיה וגמל בע"מ,31923.95,0.6402,12409.17,0.2488,203.58,0.0041,26.54,0.0005,31.72,0.0006,2231.46,0.0447,2912.01,0.0584,0,0,127.7,0.0026,47373.99,0.95,2492.13,0.05,49342.21,0.9895,523.92,0.0105,0,0,441.67,0.0089,667.93,0.0134,</Row>
